reviewer_name,rating,review_text
Rahul Moghe,4.0 out of 5 stars,"Writing this review after using the phone for 5 months.
Pros
- camera clicks amazing pictures, video recording is the best I've seen in a phone so far compared to my previous phones. Stable videos with no shaking
- battery life is good. Lasts an entire day with medium use. I don't game on the phone. Charging is as quick as it is with phones that use USB C.
- display is soo good. So bright
- built is solid, dropped phone a couple of times once with the cover and once without and not even a scratch.
- listening to music and watching videos is a hot cos of how good the speakers r. Crystal clear with the right amount of bass and treble.

Cons
- phone is a tad heavy and using it for hrs on a stretch can result in pain in the wrist or fingers

Got the phone in Diwali sale on discount so bang for buck if u ask me"
Shreyank,4.0 out of 5 stars,Not value for money
yogendra,4.0 out of 5 stars,"#Camara is outstanding
#Battery Backup need improvement
#All is well"
Shobhan,4.0 out of 5 stars,Good
Faizan,4.0 out of 5 stars,Good
Realme buds air 5,4.0 out of 5 stars,"It's an absolute all rounder. I mean you know about apple right, it has never disappointed me this time neither"
Aditya,4.0 out of 5 stars,"As everyone knows it is very Good mobile, but how ever you use battery health percentage will keep decreasing, for me this only issue with iphones"
Rohit,4.0 out of 5 stars,Nice
harsh gupta,4.0 out of 5 stars,Battery issue
Faiyaz,4.0 out of 5 stars,"Design:
The iPhone 13 retains the iconic design of its predecessors, but with some subtle refinements. The overall construction is sleek and elegant, featuring a durable aerospace-grade aluminum frame and ceramic shield front cover for improved durability. The device is available in a range of attractive colors, catering to different aesthetic preferences.

Display:
One of the most significant upgrades is the stunning Super Retina XDR display, which offers vivid colors, deep blacks, and outstanding brightness. The improved refresh rate provides smoother scrolling and more responsive touch interactions, making it a delight to use for various tasks, from browsing the web to watching videos and playing games.

Performance:
Powered by the latest A15 Bionic chip, the iPhone 13 delivers exceptional performance across the board. The processing power ensures seamless multitasking, swift app launches, and impressive gaming capabilities. The neural engine's advancements further enhance machine learning tasks, contributing to better efficiency and smarter features.

Camera:
The iPhone 13's camera system is a standout feature, significantly raising the bar for mobile photography and videography. The dual-camera setup, comprising wide and ultra-wide lenses, captures stunning images with sharp detail, accurate colors, and improved low-light performance. The addition of Cinematic mode for video recording introduces a new level of creativity, allowing users to achieve professional-looking focus transitions and selective focus effects.

Battery Life:
The iPhone 13 boasts impressive battery life, keeping pace with the demands of modern usage. Whether you're streaming content, navigating with GPS, or engaging in video calls, the device offers extended endurance, reducing the need for frequent recharging. This improvement is a game-changer for users who rely on their smartphones throughout the day.

Connectivity:
With support for 5G networks, the iPhone 13 ensures faster download and upload speeds, enabling seamless streaming, swift downloads, and lag-free online experiences. The expanded 5G coverage allows users to stay connected in more locations, tapping into the potential of next-generation connectivity."
"Great product, Good pricing",5.0 out of 5 stars,"The first time I am purchasing a apple product, and I am really happy with the product, performance and the delivery."
Akshay Mokashi,5.0 out of 5 stars,.
debarghyo chaudhuri,4.0 out of 5 stars,"Got it for 65K on Amazon prime day. So as a lifelong android user I have switched to IOS. So will be dividing this into the pros and negs:
Product red 128GB
Pros:
1) Received genuine product from Amazon( was quite sceptic about it though)
2) Built quality excellent
3) Camera quality excellent. True to life color reproduction, Indoor conditions amazing, night photos are good, facial tones are very good, day clicks are amazing. In short it's an amazing exp. Selfie cam also produces very good quality images. And also no shift in dynamic range while shifting B/W wide and ultra wide cams.
4) Display:- Its a really great display, not 120 hz, but the experience is no less than a 120 hz, coz of apple's great software optimization, buttery smooth, no jitters on the screen, won't feel like a 60 hz panel. Now the notch, yes it will be bothering a little bit but its got its own functions, face unlock and stuff (works great in all environmental conditions)after a little while you get adjusted and it got its own magic functions like when when the phone rings and you go close to it, it detects your presence and lowers the vol level.
5) Performance: Most powerful processor in the world.
6) Battery:- With light usage will easily go for 2 days and with heavy 1 day. Remember to follow a charging pattern and it will give a solid battery exp.
7) Speakers: Very loud with a small thump

Cons:
1) To keep photos and stuff you need to buy storage. 5 GB by default but that's nothing. Download google photos as an alternate sol. if you don't wanna buy storage.
2) File management system sucks, android is much better.
3) It has dolby atmos but for that you need a subscription to Apple music.
4) Does not have a telephoto cam, which I think is a must at this price point.
5) Somehow I am not getting 4g+ on my airtel, don't know why but in my android phone always used to get that.
6) No USB C
7) Siri is dumb AF
8) Apple maps are not good, so download Google maps.
9) Google keypad is much better than apple's.
10) Notification panel and those small things like typing in the notification panel and other things that you can do in android is much much better than apple.
11) As of now no haptic feedback while typing maybe coming on IOS 16

Note:- Apple ecosystem still exploring that part but whenever you click any pic it automatically gets updated and I can see it in my Macbook also.

Overall I would say if you are planning to buy a phone for responsiveness and does the everyday stuff without any hanging problems and stuff then buy it, and also if you are planning to keep it for a long time, then I think its a good investment for the future. Its got Great resale value.

Hope this helps in making your decision easier.

Update after 2 weeks of usage:

All the above points remains the same, but I did check out the ecosystem and the experience has been amazing.
1) I can receive and make phone calls (cellular calls) from my macbook, and the call quality is also good.So basically you can keep your phone in some other section of the house and you are working with your macbook somewhere else and if some call comes you can receive that on your macbook. PS:- your phone and macbook should be connected to a similar network, i.e wi-fi.
2) Airplay- Just from the lock screen itself i can play any video and also listen to music from my phone. So basically you can watch youtube amazon prime videos(app not in the macbook but present on phone) and other stuff and also listen to music, and the switch of devices is also seamless. So someone in my house can use my macbook to watch movies on amazon prime(playing from my phone) and I can browse linkedin or FB from my iphone."
Ishwar,4.0 out of 5 stars,"What do you want to hear about iPhone,if you are reading this review,it means that you have already done enough research to buy it.so, congratulations for your new iphone🎉"
Jyoti,4.0 out of 5 stars,Iphone 13 was good but after using 3 to 4 month it start heating. Camera quality is good even better than phone 15( I personally feel that).
Yuva Prasath,5.0 out of 5 stars,Mobile give a premium look very good mobile worth for money
Ayasha Saifi,4.0 out of 5 stars,ok
Placeholder,5.0 out of 5 stars,"i dont need to explain about the feature it an ""iPHONE"" name is enough.
Amazon super fast delivery, activated the phone got full 1 yrs warranty.
super fluid amazing speed nothing more to say."
Tufel Ajmeri,4.0 out of 5 stars,"Do I need to write a review for iPhone ?
People still gonna buy it anyway.
Little bit disappointed from macro lens otherwise who criticize Apple."
Hitesh Makwana,4.0 out of 5 stars,"Camera quality is just awesome 😎
Battery life is also nice
Only problem you will face if you switch from Android is refresh rate
And don't know but apple keyboard isn't made for chatting or typing in lo al language."
V C Mohan,5.0 out of 5 stars,At this price point it's one of the best phones you can get! iOS is smooth as always and the camera setup as absolutely clinical. The downside tho is the minimal battery life but it can get you through an entire day.
Mohan Chhatwani,5.0 out of 5 stars,"I loved the phone
Nice perfomance"
jmk traders,5.0 out of 5 stars,thank You Am Happy
Shalin Sabu,4.0 out of 5 stars,Value for money
Saurabh Raghuvanshi,5.0 out of 5 stars,I love this phone
Placeholder,5.0 out of 5 stars,"Just a small phone you need for every day, work, entertainment and overall a good phone. iOS is one of the best systems overall in the market. Best display best battery best sound best design"
Mohammad Arif,5.0 out of 5 stars,iphone ha yaar lalo sab log or vesa bhi 13 ki ti bhout value ha
Arun,5.0 out of 5 stars,The phone dropped 3k on the day it was delivered. Feels like getting cheated.
Autohub India,5.0 out of 5 stars,Best buy instead of IP 14.
Amazon Customer,5.0 out of 5 stars,Great Phone
Avnish Shukla,5.0 out of 5 stars,"Good camera, nice performance, excellent display, fabulous sound"
Jayant,4.0 out of 5 stars,"iPhone 13 is like wow , I have updated from my iPhone SE 2020 to 13 and then I’m feeling like wonderful.the phone camera is 4.5 out of 5 .
Multitasking is very easy and thanks to Amazon for secure packaging."
Kumaresh,4.0 out of 5 stars,SUS
Sam,5.0 out of 5 stars,"I recently upgraded to the iPhone 13, and I couldn't be happier! The sleek design, stunning display, and lightning-fast performance make it a standout device. The camera quality is exceptional, capturing every moment with clarity and precision."
Avinash bogi,5.0 out of 5 stars,It was awesome phone
GS Patel,5.0 out of 5 stars,Camera is excellent.
koushik chaki,5.0 out of 5 stars,"I am using it since January, and completely satisfied. No doubt on product originality from seller end.
However facing some heating issue while continuous network usage."
prashant ashtekar,5.0 out of 5 stars,Original. Good camera quality
Gopal krishna Reddy,5.0 out of 5 stars,Everything looks good
Vishal,5.0 out of 5 stars,On time delivery and smooth process
Yash g.,5.0 out of 5 stars,I wanted this phone since long ! Now I had it in offer !
Om dhoke,5.0 out of 5 stars,Phone is absolutely good it hang only while it is hot overall display is very awosome and its very smooth while it charge at good speed
satya,5.0 out of 5 stars,GOOD
Manthan nathwani,5.0 out of 5 stars,iPhone products was veryy useful for everyone it was veryy bestt product everr
Happy,5.0 out of 5 stars,"The big difference between ios and android is that ios never lags , it feels so smooth , and voice control , gesture control , custom commands so manny things are there . And obviously camera quality is also good ."
Subodh Meshram,5.0 out of 5 stars,best mobile phone
floki,5.0 out of 5 stars,
Gagan Pandey,5.0 out of 5 stars,Purchased it long time ago but this is my 2nd iphone 13. I bought this for my father. He is very happy
Raman Tripathi,5.0 out of 5 stars,"Everything is good
Best phone ever"
Radha jangid,5.0 out of 5 stars,A Good Product with a Good quality
Dk Gurung,5.0 out of 5 stars,"9,/10"
nareshbabu,4.0 out of 5 stars,I am very happy to got this
Amazing performance. A15 Bio chip prosessor is literally lit 🔥.,5.0 out of 5 stars,"The camera quality is just 🔥.
The battery is also good."
Rohan,5.0 out of 5 stars,"Not mentioning product features because everyone can read it.

This is the highest value item I purchased on Amazon and kudos for safe and timely delivery."
Sanjit Kundu,5.0 out of 5 stars,iPhone 13 looks like awesome. I am happy to purchase it.
Battery quality is good,4.0 out of 5 stars,
Vignesh,5.0 out of 5 stars,Good product delivered on time
Vipul Waskel,5.0 out of 5 stars,Not worth it
Csudha,5.0 out of 5 stars,It's really good as it is apple phone basically.
Om prakash,4.0 out of 5 stars,
Krishna Mohan Thakur,5.0 out of 5 stars,"Overall very nice product, camera, optimisation and etc."
Hashim khan,5.0 out of 5 stars,Camera Quality. Battery performance everything up to Mark
Aditi Mukherjee,5.0 out of 5 stars,"I just love this model! Yes please would argue that it’s an old model but hear me out. The battery backup is substantially better than 14/15. The camera quality stands at power, the charging even tho not C type charges pretty quickly, the base and the speakers it’s pretty good. And even though the refresh rate is not that great, but it’s the exact same in 14/15.
Not just that but there have been certain major issues with both those models that have put them on a really low selling models for Apple."
Basit Jinabade,4.0 out of 5 stars,Apple is the leader in smartphone
Sani pal,4.0 out of 5 stars,Akhil Sahi Hi Hai ❤️✅
Banarasi Kanya,5.0 out of 5 stars,All version of iphone is batter than older version so it's creat confusion between the customer that which one is batter
Arbaaz,5.0 out of 5 stars,Awesome
manoharan,4.0 out of 5 stars,Lets see
paulsravan,4.0 out of 5 stars,Gets warm at heavy usage
Surender k.,4.0 out of 5 stars,Good
Placeholder,5.0 out of 5 stars,"I phone 13 is excellent value for money. Sturdy hardware, stable OS. Excellent camera. Battery could have been more. Overall fully satisfied."
akash k.,5.0 out of 5 stars,"Costly but worth it camera is awesome but i think battery should last little longer perfect fits in hand
Display quality is not as price but superb but blacks are good"
Akshay M B,5.0 out of 5 stars,Good product
Ayush maran,5.0 out of 5 stars,
Shiven,5.0 out of 5 stars,
Alishba h.,5.0 out of 5 stars,
ravi singh,5.0 out of 5 stars,Happy using iphone
Nick,5.0 out of 5 stars,Great camera and good perfomance. Only issue is glare in night time videos due to light sources.Battery life is also good
It’s for value for money….battery backup of watch is strong advantage…watch built quality is also good,5.0 out of 5 stars,Nice product
Kutub,5.0 out of 5 stars,Very good item
Ishant shekhar singh,5.0 out of 5 stars,Iphone 13
Ashish singh,4.0 out of 5 stars,The iPhone 13 is superb
Kanubhai Desai,4.0 out of 5 stars,Good. 1. Mahina Bhi Nahi Chala
Srimukh Reddy,3.0 out of 5 stars,"Still trying to understand the computations on one hand and to understand shift from android to iphone
I thought hanging would never happen but it seems as if you would just need to optimise your usage among different apps and understand the shift better.
If you are trying to shift from androud its best to try pro or pro max so that you wouldnt notice the shift"
Amit,4.0 out of 5 stars,I'm not a iPhone person but red colour is mine ♥️ my first iPhone purchase so I love camara quality ❣️ so happy with iPhone 13 🫶
Jayesh Kumar Mantry,4.0 out of 5 stars,"Design:
The iPhone 13 retains the classic Apple design with a sleek and modern appearance. It's available in various colors, catering to different tastes. The build quality is top-notch, with a Ceramic Shield front cover and durable materials that feel premium in hand.

Display:
The device features a Super Retina XDR OLED display, which offers vibrant colors, deep blacks, and impressive brightness. It's perfect for watching videos, browsing the web, or gaming. The display quality enhances the overall user experience.

Performance:
Apple's A15 Bionic chip powers the iPhone 13, and it's a powerhouse. The device handles multitasking and demanding applications with ease. It's an excellent choice for both casual and power users. The performance improvements extend to better gaming experiences and faster app launches.

Camera:
The iPhone 13's camera system offers impressive photography capabilities. It features a dual-camera setup with sensor-shift optical image stabilization, Night mode, and Deep Fusion. These features result in stunning photos, even in low light conditions. The Pro models offer even more advanced camera options.

Battery Life:
One notable improvement is the battery life. The iPhone 13 provides all-day battery life, which is a significant advantage for users who rely on their phones for work and entertainment. You can expect long-lasting performance without frequent recharging.

Software:
The device runs on iOS, Apple's operating system known for its stability, security, and regular updates. iOS 15 brings new features like Focus mode, improved notifications, and enhanced FaceTime capabilities, which enhance the overall user experience.

Connectivity:
The iPhone 13 supports 5G connectivity, ensuring faster download and streaming speeds. It's also equipped with Wi-Fi 6 and offers a seamless online experience."
Placeholder,3.0 out of 5 stars,"7 Days used review . The ordering experience in the greate indian sale was worst . I planned to buy this for 45999/- in oct7 greate indian sale offer but i got canceled then i bought for 48999 that was disppointed .
Coming to phone
IOS 16.6 (current not updated)
- it was great, super handy for me, little feeling of weight .
Display
- The 60Hz refresh rate didn't felt badly form me cause i am used such kind of device before.
- The brightness Range is so comfortable.
- The 2160p60 HDR videos in youtube give blissful experiance
Battery And charging
- The charging time:- i took 1Hour to charge from 20% to 91% using apple 20w original adapter without any interruption
- Battery backup - I am mostly maintain battery in btw 20% <-> 80% so i think this may get one day backup for me ,Average 5h screen on time
- Little temperature warming while charging , no heating issue
Perfomance
- Good perfomance for video editing ,photography , social media . (I am not a gamer )
Camera
- The cinematic Mode is mind Blowing . i missed 13 pro or higher varients for zooming in this mode .
- Actually i really miss pro variant for the tele lens and camera features while i using this . Cost is wall for me.
- The photos are nice and feature like exposure adjust and filter was good and quality photos . And the 5x zoomed photos is not good for me.it reduced the pixel quality .
- The video and optical image stabilisation was mind blowing . i mostly explore on videos . it was soo good , no words other than that.
AND THE BIGGEST FEAR FOR ME NOW IS IOS UPDATE
i turned off the auto update at first place .
i heared about DISPLAY ISSUES,HEATING ISSUES and BUGS in the ios updates for 13 and 14 series.
So for expencive and established brand like apple does not fair . This is the only -ve i have to say as a reminder .Also i heared without ios update display issues are happened . Buy the way it is a hardware issue one of the display provider company's batch may show the issues . but we customers cannot identify which company provides the hardaware.
I will attach my battery analytics data screnshot photo here so you can better understand how the battery is good"
Maruf,5.0 out of 5 stars,Perfect
Sebin Benny,5.0 out of 5 stars,I am very much satisfied by battery life and camera quality
Adil,5.0 out of 5 stars,"I’ve been using the iPhone 13 for the past 3-4 months, and I am thoroughly impressed with its overall performance. The A15 Bionic chip ensures smooth and lag-free operation, making multitasking a breeze.

The camera quality is a standout feature, capturing vivid and detailed photos in various lighting conditions. The Night mode improvements are noticeable, delivering clear and sharp images even in low-light environments. The Cinematic mode for videos adds a professional touch, creating engaging and dynamic content.

The battery life has been reliable, easily lasting a full day with moderate usage. The 120Hz ProMotion display contributes to a silky-smooth experience, enhancing gaming and video playback.

The design is sleek and feels premium, while the Ceramic Shield front provides added durability. The introduction of 5G connectivity ensures fast data speeds, enhancing the overall user experience.

While the absence of a charger and earphones might be a drawback for some, the iPhone 13’s performance, camera capabilities, and design make it a worthwhile upgrade. Highly recommended for those seeking a top-tier smartphone experience."
